scorer,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul
individuals,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single
bodyparts,Client_Body_bot1,Client_Body_bot1,Client_Body_bot2,Client_Body_bot2,Client_Body_top1,Client_Body_top1,Client_Body_top2,Client_Body_top2,Client_Mouth,Client_Mouth,Client_Spine_head,Client_Spine_head,Client_Spine_mid,Client_Spine_mid,Client_Tail,Client_Tail,Client_Tail_Bot,Client_Tail_Bot,Client_Tail_Top,Client_Tail_Top,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,,,,,,,,,,,,,,,,,,,,,4.997427961884684,1.0,2.201776280085059,0.9990000128746033,3.3937473301645515,0.9959999918937683,5.269952363298861,0.9990000128746033
1,,,,,,,,,,,,,,,,,,,,,3.6570447968349753,0.9990000128746033,5.230567268809453,0.9940000176429749,6.37222520716802,0.9980000257492065,7.676631411325546,0.9990000128746033
2,,,,,,,,,,,,,,,,,,,,,2.7954191202989596,1.0,3.2057987501007963,0.9909999966621399,3.0009635193976716,0.9850000143051147,5.093302354094741,0.9990000128746033
3,,,,,,,,,,,,,,,,,,,,,3.6350681276350736,1.0,4.304403270574,0.9959999918937683,0.24026680399187078,1.0,3.065754447025217,1.0
4,,,,,,,,,,,,,,,,,,,,,0.7646362745868635,1.0,4.100659199216158,0.9819999933242798,8.567230770341004,0.9620000123977661,3.2449050989433594,0.9959999918937683
5,,,,,,,,,,,,,,,,,,,,,1.3419252736849112,0.9879999756813049,6.192779677586482,0.9929999709129333,3.46208982528479,0.984000027179718,5.158917727938039,0.9710000157356262
6,,,,,,,,,,,,,,,,,,,,,2.8001027081861154,1.0,4.478827875230861,0.9980000257492065,4.035881583572901,0.9959999918937683,1.7335868921230813,1.0
7,,,,,,,,,,,,,,,,,,,,,4.6821925506889785,1.0,4.650079351869704,0.9990000128746033,4.316417391427707,0.9959999918937683,5.960877718936326,1.0
8,,,,,,,,,,,,,,,,,,,,,3.528682940914453,1.0,5.085621787867535,0.9990000128746033,7.531174566666539,0.9909999966621399,4.639352780474217,0.9990000128746033
9,8.774562268251577,0.9950000047683716,31.2883317714599,0.9309999942779541,2.3028680786600972,0.9890000224113464,26.34348149099604,0.972000002861023,7.181148152954822,0.996999979019165,8.007606304724108,0.9980000257492065,14.820300836762257,0.9430000185966492,10.599009345688867,0.9789999723434448,2.9315579263861298,0.9990000128746033,4.07306984660588,0.9990000128746033,5.8477019886465165,1.0,1.282463256775908,0.9990000128746033,6.512951973895036,0.9890000224113464,2.737713133213281,1.0
10,4.263820081099136,0.9959999918937683,2.159817300062465,0.9980000257492065,5.288480292452871,0.9990000128746033,5.70179009720267,0.9959999918937683,3.972253404134283,0.9990000128746033,3.8220420925672736,0.9990000128746033,1.6071729612064638,0.996999979019165,3.9227234733533427,0.9950000047683716,,,4.627006592295657,0.9990000128746033,1.8237963408360842,0.9990000128746033,4.077742075868119,0.9959999918937683,2.4270156664464384,0.9879999756813049,2.297307246555486,0.9990000128746033
11,1.9428732196565004,0.9980000257492065,3.122596310901829,0.996999979019165,2.8928770752648063,0.9990000128746033,6.827230439859711,0.9950000047683716,1.716782542910705,0.9990000128746033,1.1144093618567419,0.996999979019165,1.2822860348726945,0.9959999918937683,5.287508034581136,0.9990000128746033,4.332894771747778,1.0,4.002268070311692,1.0,3.641311251320373,1.0,6.045125872976782,0.9990000128746033,2.9973614812717093,0.9940000176429749,7.868404359961192,0.9980000257492065
12,3.09891697177071,0.9959999918937683,2.1085309283356803,0.984000027179718,3.8854122105534876,0.9990000128746033,6.675158486145274,0.996999979019165,4.693434381410043,0.9990000128746033,2.5623190209681224,0.996999979019165,1.2330093935971975,0.9950000047683716,2.4774053848114943,0.996999979019165,5.308351207263004,0.9990000128746033,4.380934487512165,1.0,2.9767857748406255,1.0,6.452804524591669,0.996999979019165,2.730712279467843,0.9990000128746033,4.292436697592851,0.9990000128746033
13,3.777226398765775,0.9980000257492065,4.707084054238748,0.9940000176429749,4.519334237822008,0.996999979019165,3.8831728824033607,0.9900000095367432,6.942002956167739,0.9990000128746033,2.4701665576433354,0.996999979019165,2.4311365137251726,0.9980000257492065,0.7739405857395345,0.9980000257492065,,,3.342497877877167,0.9990000128746033,2.0074121262043634,1.0,2.94524428092735,0.9990000128746033,3.7575725480732647,0.996999979019165,2.1379639994547865,0.9990000128746033
14,2.915821699923145,0.9990000128746033,6.582310221145144,0.9430000185966492,10.60786005097375,0.9860000014305115,5.774019228978217,0.9649999737739563,9.596939354576689,0.9950000047683716,3.230340349842972,0.9959999918937683,4.001341300595738,0.9850000143051147,8.096905063400083,0.9860000014305115,7.5962527055747815,0.9980000257492065,5.298411185084431,0.9990000128746033,4.204752310649226,1.0,1.2315770920601699,0.9950000047683716,2.4770679740768227,0.9940000176429749,3.9556085228277635,0.9980000257492065
15,1.7709297351457933,0.9940000176429749,6.117652782931062,0.9890000224113464,2.3021316817031523,0.9890000224113464,4.66142569082833,0.9810000061988831,7.070300070302461,0.9990000128746033,1.1940285312499448,0.9950000047683716,5.487587997491615,0.984000027179718,4.314913067460215,0.9950000047683716,1.6521123414858074,0.9990000128746033,5.5799883828665395,1.0,,,6.026880319604689,0.9959999918937683,4.087803865790227,0.9959999918937683,3.3162744953661765,0.9959999918937683
16,2.071349634506254,0.996999979019165,5.11369802612165,0.9750000238418579,2.2572588023007425,0.9919999837875366,2.0998363154470208,0.9879999756813049,2.4021041227611453,0.9990000128746033,4.788785209202662,0.9869999885559082,1.5097311559674969,0.9800000190734863,3.2760899556585925,0.9980000257492065,4.55720404515285,0.9990000128746033,6.749083737358793,0.9990000128746033,5.602585002111967,0.9890000224113464,8.887711517311748,0.9950000047683716,6.297060286754637,0.9980000257492065,8.297131224214658,0.9940000176429749
17,1.7471523387139116,0.9990000128746033,1.76505346981254,0.9629999995231628,7.925057130410077,0.9990000128746033,5.5938188340157335,0.9800000190734863,4.312226014785898,0.9980000257492065,0.88948859209374,0.9980000257492065,4.822034727208554,0.9850000143051147,4.342170817131168,0.996999979019165,1.7099235183232135,0.9990000128746033,3.9257395506329673,0.9990000128746033,2.489254149487078,1.0,4.9040606572294685,0.9940000176429749,5.4715605918147725,0.9879999756813049,1.6217274278318057,0.9990000128746033
18,5.155637360329701,0.9980000257492065,3.4921043155016593,0.9919999837875366,2.475662706520695,0.9869999885559082,3.540953333194421,0.9520000219345093,2.9693552637139216,0.9959999918937683,2.533056452055628,0.9919999837875366,4.208956112193215,0.921999990940094,4.143299653428025,0.9819999933242798,2.3429931565172475,0.9990000128746033,3.8730696155701687,0.9990000128746033,6.02225652135724,0.9980000257492065,7.2729722521977465,0.9850000143051147,2.355971044834665,0.9860000014305115,0.9970171701492797,0.9940000176429749
19,5.2385199108980665,0.9990000128746033,4.6466257651064,0.9900000095367432,3.308633314325932,0.9980000257492065,5.764318436663419,0.9700000286102295,3.7621953071782404,0.9990000128746033,2.7107069555089773,0.9959999918937683,4.721337360263728,0.9729999899864197,7.875848093253028,0.9869999885559082,2.1380062603643513,0.9990000128746033,2.9671322251849035,0.9950000047683716,4.146147062456106,1.0,1.6255507733897945,0.9990000128746033,2.0552167477203542,0.9980000257492065,2.2131850208674266,0.9990000128746033
20,4.0425878392665915,1.0,7.5280108102216365,0.996999979019165,8.763175654373129,0.9959999918937683,9.872018609326819,0.9819999933242798,6.417438239362704,0.9990000128746033,3.664301133234478,0.996999979019165,2.0588875724303066,0.9940000176429749,11.794601269415443,0.9869999885559082,4.6595083270966615,0.9980000257492065,1.735623309778669,0.9990000128746033,,,3.6104010156799147,0.9990000128746033,1.7879987673998536,0.9980000257492065,3.5254356027519536,1.0
21,5.237619340165211,0.9990000128746033,2.2768293205001675,0.9950000047683716,3.8709844916839264,0.9990000128746033,7.425029731505235,0.9919999837875366,4.794651524883576,0.9980000257492065,2.4524615176464173,0.9980000257492065,3.6391143197983973,0.9879999756813049,6.906398734191149,0.9950000047683716,5.566932010889488,0.9990000128746033,3.2841075758368308,1.0,2.6599327842606573,1.0,1.5805489255726173,0.9909999966621399,2.8912937586328455,0.9990000128746033,4.6471452224332985,1.0
22,5.9564117035609385,0.9459999799728394,11.067650212024011,0.9829999804496765,4.167788195356558,0.996999979019165,6.391110740370308,0.9929999709129333,2.3698385885129087,0.9959999918937683,0.9123734097085131,0.996999979019165,5.507255351647655,0.9369999766349792,0.9718767077215501,0.9959999918937683,3.0602608372837,0.9990000128746033,1.0004299455456003,0.9990000128746033,3.6784688185319414,0.984000027179718,3.26241803518096,0.996999979019165,7.691601369444242,0.9869999885559082,11.082604375626579,0.9980000257492065
23,1.3947275222059594,0.9990000128746033,2.260690296671528,0.9480000138282776,6.118349969742215,0.9980000257492065,3.25783561543548,0.8899999856948853,1.0601204189533708,0.9990000128746033,1.1597452552236274,0.996999979019165,10.859846742665985,0.9620000123977661,2.8153804945719507,0.9909999966621399,9.503971195095698,0.9990000128746033,6.155741749315159,0.9990000128746033,0.9694572394824669,0.9990000128746033,4.116963126973556,0.9959999918937683,4.025362136794738,0.9980000257492065,4.648708043388203,0.9990000128746033
24,3.0466090385593185,0.9980000257492065,9.275864786710223,0.972000002861023,3.9968861148032877,0.9940000176429749,3.5841138241359105,0.9869999885559082,9.035649463477695,0.9980000257492065,2.1237714842479773,0.9909999966621399,8.162882525258054,0.9819999933242798,3.668735729717456,0.9919999837875366,2.634700303771432,0.9990000128746033,3.753706085906683,0.9990000128746033,2.150450439890762,1.0,4.547077187282224,0.9950000047683716,3.9895169807514415,0.9959999918937683,1.8499271981211118,0.9769999980926514
25,6.237505632399727,0.9959999918937683,1.4154070763757691,0.9470000267028809,4.281500828831214,0.9860000014305115,4.592940992857862,0.9700000286102295,7.980676740218139,0.9779999852180481,2.2402946773420873,0.9890000224113464,10.12042178802363,0.9309999942779541,8.554530827768254,0.9919999837875366,2.3034425942320644,0.9980000257492065,2.4730511560643205,0.9990000128746033,4.898246379792467,1.0,3.366000555978018,0.9990000128746033,3.0498493314162807,0.984000027179718,2.264649806624687,0.9990000128746033
26,3.305148403699144,0.9959999918937683,5.8031408588744,0.9990000128746033,2.5810546364115163,0.9980000257492065,2.208108938632488,0.9789999723434448,9.191185397519156,0.996999979019165,2.2111547472813635,0.9980000257492065,4.750360495475052,0.9950000047683716,3.9480638602319007,0.9980000257492065,1.5768102383186213,0.9990000128746033,5.391819961541787,0.9990000128746033,1.7241989947223204,1.0,3.2487807314324915,0.9959999918937683,5.19455362614457,0.9980000257492065,1.1696559079454452,0.9990000128746033
27,3.976143069587768,0.9990000128746033,3.2841264549870273,0.9950000047683716,11.392261901381564,0.9950000047683716,9.543219633026098,0.9750000238418579,2.5432622362596673,0.9990000128746033,5.337879788551626,0.996999979019165,4.530946695293893,0.9779999852180481,1.2093329195722935,0.996999979019165,3.983168548561453,0.9829999804496765,3.7783982290918305,1.0,2.7385919011638804,0.9710000157356262,4.5505284899145035,0.9919999837875366,6.044101572396037,0.9990000128746033,1.9112662623231385,1.0
