scorer,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul,raul
individuals,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,Client,single,single,single,single,single,single,single,single
bodyparts,Client_Eye_L,Client_Eye_L,Client_Eye_R,Client_Eye_R,Client_FinBase_L,Client_FinBase_L,Client_FinBase_R,Client_FinBase_R,Client_FinTip_L,Client_FinTip_L,Client_FinTip_R,Client_FinTip_R,Client_Mouth,Client_Mouth,Client_Spine_1,Client_Spine_1,Client_Spine_2,Client_Spine_2,Client_Tail,Client_Tail,Client_TailTip,Client_TailTip,Cleaner_Mouth,Cleaner_Mouth,Cleaner_Spine1,Cleaner_Spine1,Cleaner_Spine2,Cleaner_Spine2,Cleaner_Tail,Cleaner_Tail
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,,,,,,,,,,,,,,,,,,,,,,,6.6272251588241815,0.9649999737739563,15.754805815525128,0.8830000162124634,7.684380215966478,0.3400000035762787,85.17529568174085,0.8650000095367432
1,,,,,,,,,,,,,,,,,,,,,,,1.6116074479876887,1.0,6.0618746493911315,0.9819999933242798,10.269923313600477,0.9850000143051147,0.42436995094059404,1.0
2,,,,,,,,,,,,,,,,,,,,,,,3.1992014973361633,1.0,4.805776693055189,0.9959999918937683,16.39913355498978,0.9449999928474426,0.9791839403456063,0.9990000128746033
3,,,,,,,,,,,,,,,,,,,,,,,3.402731973761702,0.9990000128746033,2.7463184533129876,0.9900000095367432,11.070535673927601,0.9819999933242798,3.8832242571338,0.9990000128746033
4,,,,,,,,,,,,,,,,,,,,,,,1.1031171564814057,1.0,2.9217711892048785,0.9959999918937683,0.7905113184785822,0.9890000224113464,4.553682245489164,0.9990000128746033
5,,,,,,,,,,,,,,,,,,,,,,,2.7260719329347336,1.0,4.897414068255902,0.9950000047683716,6.583411568214727,0.9330000281333923,5.4459976262502705,0.9980000257492065
6,,,,,,,,,,,,,,,,,,,,,,,0.5112269299029725,1.0,0.511390784930093,0.996999979019165,4.782294150021627,0.9599999785423279,3.607119305061008,0.9990000128746033
7,,,,,,,,,,,,,,,,,,,,,,,4.077076726654363,1.0,7.412549914547421,0.9120000004768372,4.9397070464022095,0.3310000002384186,4.423336316081766,0.9769999980926514
8,,,,,,,,,,,,,,,,,,,,,,,3.0097185752986926,1.0,6.486198046791281,0.9229999780654907,8.124923549257408,0.7450000047683716,2.486041764374215,0.9990000128746033
9,,,,,,,,,,,,,,,,,,,,,,,2.7061072180621424,1.0,4.998550876063983,0.9950000047683716,7.959203689366558,0.9750000238418579,1.5164132415324372,0.9990000128746033
10,,,,,,,,,,,,,,,,,,,,,,,1.430353375603578,1.0,5.593318792924228,0.996999979019165,4.763194838078446,0.9810000061988831,5.717003206348796,0.9980000257492065
11,,,,,,,,,,,,,,,,,,,,,,,1.7836659722387593,0.996999979019165,2.955092271950846,0.984000027179718,7.732197806166445,0.984000027179718,0.8084966100298246,0.9990000128746033
12,,,,,,,,,,,,,,,,,,,,,,,3.7638886572128865,0.9980000257492065,4.137988439360082,0.9909999966621399,2.1098848066738567,0.9869999885559082,3.302111128854489,0.9990000128746033
13,2.7982499351880863,0.996999979019165,3.2587533265717115,0.9990000128746033,3.900965425223598,1.0,1.4069648996677095,0.9990000128746033,3.5681443702999642,0.9900000095367432,0.05703601034499559,0.9950000047683716,2.6297829489552695,1.0,4.962752775941769,0.9950000047683716,6.485743649443238,0.9769999980926514,2.7412177788225756,0.9990000128746033,2.563715010905946,0.996999979019165,3.313421373678803,1.0,10.07171796967784,0.984000027179718,10.434210879545526,0.968999981880188,0.289557594727154,0.9980000257492065
14,3.091509577162027,0.9990000128746033,1.2320098039598197,0.9959999918937683,2.677008985569505,0.9990000128746033,3.992343094927808,0.9990000128746033,5.885436205047338,0.9959999918937683,2.088095964834829,0.996999979019165,2.5604345925105236,0.9990000128746033,14.456768696788664,0.9520000219345093,4.318743368290744,0.9869999885559082,2.94329228980935,0.9980000257492065,5.069855727332403,0.9950000047683716,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,5.0714682695970055,1.0,4.1695225002761696,0.9900000095367432,7.876137654913001,0.9909999966621399,0.12646303104470275,0.9990000128746033
